date Category,Time Category,Station Code,Entry Passenger Category,Exit Passenger Category,Weather Category
vacation,Morning,A,Few,Average,light rain
vacation,Midday,A,Numerous,Numerous,normal
vacation,Afternoon,A,Numerous,Numerous,normal
vacation,Evening,A,Many,Average,light rain
vacation,Morning,B,Average,Few,light rain
vacation,Midday,B,Many,Many,normal
vacation,Afternoon,B,Many,Numerous,normal
vacation,Evening,B,Average,Many,light rain
vacation,Morning,C,Very Few,Very Few,light rain
vacation,Midday,C,Average,Average,normal
vacation,Afternoon,C,Average,Average,normal
vacation,Evening,C,Few,Very Few,light rain
vacation,Morning,D,Very Few,Very Few,light rain
vacation,Midday,D,Very Few,Very Few,normal
vacation,Afternoon,D,Very Few,Very Few,normal
vacation,Evening,D,Very Few,Very Few,light rain
vacation,Morning,A,Few,Few,light rain
vacation,Midday,A,Many,Numerous,light rain
vacation,Afternoon,A,Numerous,Numerous,normal
vacation,Evening,A,Many,Average,light rain
vacation,Morning,B,Few,Few,light rain
vacation,Midday,B,Many,Average,light rain
vacation,Afternoon,B,Many,Numerous,normal
vacation,Evening,B,Few,Average,light rain
vacation,Morning,C,Very Few,Very Few,light rain
vacation,Midday,C,Few,Few,light rain
vacation,Afternoon,C,Average,Few,normal
vacation,Evening,C,Very Few,Very Few,light rain
vacation,Morning,D,Very Few,Very Few,light rain
vacation,Midday,D,Very Few,Very Few,light rain
vacation,Afternoon,D,Very Few,Very Few,normal
vacation,Evening,D,Very Few,Very Few,light rain
weekday,Morning,A,Many,Numerous,shower
weekday,Midday,A,Many,Numerous,light rain
weekday,Afternoon,A,Numerous,Numerous,light rain
weekday,Evening,A,Many,Average,light rain
weekday,Morning,B,Numerous,Many,shower
weekday,Midday,B,Many,Average,light rain
weekday,Afternoon,B,Numerous,Numerous,light rain
weekday,Evening,B,Average,Many,light rain
weekday,Morning,C,Average,Average,shower
weekday,Midday,C,Few,Few,light rain
weekday,Afternoon,C,Average,Average,light rain
weekday,Evening,C,Very Few,Very Few,light rain
weekday,Morning,D,Very Few,Few,shower
weekday,Midday,D,Very Few,Very Few,light rain
weekday,Afternoon,D,Few,Very Few,light rain
weekday,Evening,D,Very Few,Very Few,light rain
weekday,Morning,A,Many,Numerous,light rain
weekday,Midday,A,Many,Numerous,light rain
weekday,Afternoon,A,Numerous,Numerous,light rain
weekday,Evening,A,Numerous,Average,normal
weekday,Morning,B,Numerous,Many,light rain
weekday,Midday,B,Many,Many,light rain
weekday,Afternoon,B,Numerous,Numerous,light rain
weekday,Evening,B,Average,Many,normal
weekday,Morning,C,Average,Average,light rain
weekday,Midday,C,Few,Few,light rain
weekday,Afternoon,C,Average,Average,light rain
weekday,Evening,C,Very Few,Very Few,normal
weekday,Morning,D,Very Few,Few,light rain
weekday,Midday,D,Very Few,Very Few,light rain
weekday,Afternoon,D,Few,Very Few,light rain
weekday,Evening,D,Very Few,Very Few,normal
weekday,Morning,A,Many,Numerous,light rain
weekday,Midday,A,Many,Numerous,light rain
weekday,Afternoon,A,Numerous,Numerous,normal
weekday,Evening,A,Numerous,Average,heavy rain
weekday,Morning,B,Numerous,Many,light rain
weekday,Midday,B,Many,Many,light rain
weekday,Afternoon,B,Numerous,Numerous,normal
weekday,Evening,B,Average,Numerous,heavy rain
weekday,Morning,C,Average,Average,light rain
weekday,Midday,C,Few,Few,light rain
weekday,Afternoon,C,Average,Average,normal
weekday,Evening,C,Few,Very Few,heavy rain
weekday,Morning,D,Very Few,Few,light rain
weekday,Midday,D,Very Few,Very Few,light rain
weekday,Afternoon,D,Few,Very Few,normal
weekday,Evening,D,Very Few,Very Few,heavy rain
weekday,Morning,A,Many,Numerous,light rain
weekday,Midday,A,Numerous,Numerous,normal
weekday,Afternoon,A,Numerous,Numerous,normal
weekday,Evening,A,Numerous,Many,normal
weekday,Morning,B,Numerous,Many,light rain
weekday,Midday,B,Many,Many,normal
weekday,Afternoon,B,Numerous,Numerous,normal
weekday,Evening,B,Average,Numerous,normal
weekday,Morning,C,Average,Average,light rain
weekday,Midday,C,Few,Few,normal
weekday,Afternoon,C,Average,Average,normal
weekday,Evening,C,Few,Few,normal
weekday,Morning,D,Very Few,Few,light rain
weekday,Midday,D,Very Few,Very Few,normal
weekday,Afternoon,D,Few,Few,normal
weekday,Evening,D,Very Few,Very Few,normal
